username,tag,time,tweet,comment,like,retweet
Elon Musk,@elonmusk,2021-03-24T07:02:40.000Z,You can now buy a Tesla with BitcoinYou can now buy a Tesla with Bitcoin,36.1K,892.6K,136.7K
Thomas Fogdö,@Fogdo,2019-09-08T13:21:40.000Z,"Thank you 
@Tesla
 for this helpful and cool feature :-)Thank you 
@Tesla
 for this helpful and cool feature :-)",2.1K,113.4K,12.9K
Elon Musk,@elonmusk,2021-03-23T01:14:58.000Z,Strongest argument against aliensStrongest argument against aliens,13.2K,457.3K,47.2K
Elon Musk,@elonmusk,2021-03-20T09:21:38.000Z,Music in zero gravityMusic in zero gravity,11.1K,388.7K,29K
Elon Musk,@elonmusk,2021-03-19T02:40:07.000Z,,8.5K,340.3K,25K
Elon Musk,@elonmusk,2021-03-17T01:20:54.000Z,SN11 almost ready to flySN11 almost ready to fly,4.6K,65.5K,4.8K
Elon Musk,@elonmusk,2021-03-16T23:41:44.000Z,"Actually, doesn’t feel quite right selling this. Will pass.Actually, doesn’t feel quite right selling this. Will pass.",4.4K,68.8K,2.6K
Elon Musk,@elonmusk,2021-03-15T19:52:47.000Z,I’m selling this song about NFTs as an NFTI’m selling this song about NFTs as an NFT,22.2K,244.7K,37.7K
Elon Musk,@elonmusk,2021-03-14T14:17:57.000Z,I love music. It makes my heart sing.I love music. It makes my heart sing.,21.7K,562.5K,62.3K
Elon Musk,@elonmusk,2021-03-14T14:10:15.000Z,This is goodThis is good,3.5K,44.9K,3.4K
Elon Musk,@elonmusk,2021-03-14T14:00:29.000Z,"Play your favorite song in a Tesla & turn the volume to 11

You will see. You will feel.Play your favorite song in a Tesla & turn the volume to 11

You will see. You will feel.",8.1K,168.6K,9.8K
Elon Musk,@elonmusk,2021-03-14T13:38:38.000Z,A puckish rogueA puckish rogue,2.5K,40K,2.9K
Elon Musk,@elonmusk,2021-03-14T04:10:36.000Z,Falcon flies for the 9th time tonightFalcon flies for the 9th time tonight,3.4K,111.5K,5.1K
Elon Musk,@elonmusk,2021-03-14T03:54:54.000Z,I’m getting a Shiba Inu #resistanceisfutileI’m getting a Shiba Inu #resistanceisfutile,12.2K,249K,24.2K
Elon Musk,@elonmusk,2021-03-14T01:59:13.000Z,"Homo sapiens techno: 
Loves raves & technologyHomo sapiens techno: 
Loves raves & technology",3.3K,99.7K,8.4K
SpaceX,@SpaceX,2021-03-13T02:05:14.000Z,"Targeting Sunday, March 14 at 6:01 a.m. EDT for Falcon 9's next launch of 60 Starlink satellites. The first stage booster supporting this mission has completed eight flights to date http://spacex.com/launchesTargeting Sunday, March 14 at 6:01 a.m. EDT for Falcon 9's next launch of 60 Starlink satellites. The first stage booster supporting this mission has completed eight flights to date http://spacex.com/launches",1.1K,43.5K,4.3K
Elon Musk,@elonmusk,2021-03-13T23:51:05.000Z,"Why are you so dogematic, they askWhy are you so dogematic, they ask",9.4K,244.7K,20.8K
